White,Black,Chinese_Other,Subcont
98,0,1,0
89,2,5,4
97,0,2,1
95,1,4,1
98,0,1,0
98,0,1,0
98,0,1,1
99,0,1,0
98,0,1,0
99,0,1,0
98,0,1,0
98,0,1,1
98,0,1,0
92,1,4,3
90,1,4,4
92,0,4,3
97,0,2,1
97,0,2,1
96,0,2,2
97,0,2,1
97,0,2,1
95,1,3,1
98,0,1,0
96,0,2,2
94,1,3,3
97,0,2,1
97,0,1,1
94,1,3,2
97,0,2,1
99,0,1,0
96,0,2,1
98,0,2,1
97,1,2,1
95,0,2,3
95,1,2,2
98,0,2,0
97,0,2,1
99,0,1,0
97,0,2,1
93,1,4,2
95,1,3,1
96,0,2,1
98,0,1,1
97,0,2,1
95,0,3,2
96,1,3,1
99,0,1,0
99,0,1,0
97,0,2,0
99,0,1,0
98,0,1,0
99,0,1,0
97,0,2,1
98,0,1,0
98,0,2,0
98,0,1,0
97,0,2,0
98,0,1,1
97,0,2,1
98,0,1,1
98,0,2,0
99,0,1,0
99,0,1,0
99,0,1,0
98,0,1,1
97,0,2,1
98,0,1,0
97,0,2,0
98,0,2,0
97,0,2,1
98,0,1,1
99,0,1,0
98,0,1,0
98,0,2,0
98,0,1,0
97,0,2,1
98,0,1,0
99,0,1,1
98,0,2,0
97,0,2,1
98,0,1,0
98,0,1,0
98,0,1,0
99,0,1,0
97,0,2,0
98,0,2,0
97,0,2,1
98,0,2,0
99,0,1,0
98,0,2,0
98,0,2,0
97,0,2,0
97,0,2,0
99,0,1,0
95,1,2,1
98,0,1,1
98,0,1,1
96,0,2,2
96,0,3,1
98,0,2,0
98,0,2,0
97,0,2,1
92,0,4,4
90,1,3,6
97,0,2,0
99,0,1,0
92,1,4,3
97,0,2,1
98,0,1,1
96,0,2,2
94,1,3,3
93,0,4,3
98,0,1,1
97,0,2,1
97,0,2,1
98,0,1,1
97,0,2,1
96,0,2,1
95,0,2,2
99,0,1,0
99,0,1,0
99,0,1,0
99,0,1,0
99,0,1,0
98,0,1,1
99,0,1,0
99,0,1,0
99,0,1,0
99,0,0,0
99,0,1,0
98,0,2,1
99,0,1,0
99,0,1,0
97,0,2,1
98,0,2,0
98,0,1,0
98,0,1,0
99,0,1,0
97,0,2,1
99,0,1,0
99,0,1,0
99,0,1,0
99,0,1,0
97,0,1,1
98,0,1,0
99,0,1,0
96,0,2,1
99,0,1,0
97,0,2,1
99,0,1,0
97,0,2,1
99,0,1,0
99,0,1,0
98,0,1,0
99,0,1,0
98,0,1,1
97,0,1,1
99,0,1,0
99,0,1,0
99,0,1,0
98,0,1,0
98,0,1,0
99,0,1,0
99,0,1,0
98,0,1,1
99,0,1,0
99,0,1,0
99,0,1,0
99,0,0,0
97,0,2,1
98,0,2,0
99,0,1,0
97,0,2,1
99,0,1,0
98,0,1,0
99,0,1,0
99,0,0,0
97,0,3,0
100,0,0,0
98,0,1,0
98,0,1,0
99,0,1,0
99,0,1,0
97,0,2,1
98,0,2,1
88,1,3,8
98,0,2,0
71,2,4,23
98,0,2,0
95,0,2,2
89,1,3,7
98,0,1,0
91,3,5,2
52,3,7,37
93,2,3,3
94,3,3,1
94,1,2,3
62,3,6,29
61,5,10,23
86,2,4,8
72,2,5,20
94,1,3,2
75,1,4,20
33,8,11,49
53,4,8,35
43,3,7,47
95,0,2,2
43,5,9,43
81,1,4,14
77,1,5,17
95,0,2,2
78,2,4,16
86,1,4,10
97,0,2,1
94,1,3,2
92,1,4,3
96,1,2,1
96,0,2,1
95,0,2,2
98,0,1,1
97,0,2,0
90,1,3,6
91,1,4,4
97,0,1,1
89,2,6,4
63,2,7,29
92,1,4,4
95,0,2,3
69,1,6,24
97,1,2,1
84,1,4,11
96,0,2,2
92,1,4,4
92,1,5,2
93,0,2,4
93,1,4,2
92,1,4,4
89,1,5,4
87,4,6,3
89,1,5,5
89,2,5,4
88,1,6,5
89,2,6,4
79,1,7,13
88,5,5,2
84,6,7,2
85,6,7,2
64,5,11,20
88,5,5,2
68,11,13,8
77,13,9,1
27,6,21,46
71,15,12,3
84,6,8,2
78,12,8,2
74,9,14,2
65,17,15,3
73,17,8,2
38,21,29,13
48,16,29,7
46,17,16,21
77,12,8,3
42,10,16,32
60,19,12,9
22,50,19,8
40,20,21,20
51,5,15,28
31,9,12,48
52,11,15,21
73,4,8,15
50,10,18,23
52,8,13,27
74,3,11,12
69,3,10,18
56,4,10,29
66,6,15,13
76,3,11,11
87,2,7,3
82,3,10,6
80,4,11,5
78,3,11,8
69,5,12,14
77,5,11,7
87,1,8,4
84,4,8,4
71,3,11,15
88,2,6,4
89,2,5,3
84,4,8,3
82,4,8,6
85,6,6,3
86,4,7,3
89,2,5,4
87,3,7,3
77,5,15,3
70,2,23,5
46,8,16,31
63,5,27,4
43,17,22,18
69,13,15,3
75,1,19,4
98,0,1,1
96,0,1,2
92,0,2,5
97,0,1,1
94,1,2,3
98,0,1,1
96,1,2,1
96,1,2,2
93,1,3,4
75,1,3,21
93,2,4,1
93,1,3,3
97,0,2,1
64,6,7,23
94,1,2,4
19,2,3,76
