Population 0 to 15 years,Population aged 16 to 24 years,Population aged 25 to 64 years,Population aged 65 years and over
22.8,6.4,63.4,7.4
20.8,10.8,55.4,12.9
24.4,7.2,57.2,11.3
17.9,7.7,66.8,7.6
20.8,6.6,64.1,8.5
20.8,7.5,60,11.7
16.1,7.4,68.9,7.6
20.7,9.6,60.7,9
19,20.4,50.9,9.7
15.5,8.3,68.4,7.8
21.6,5.2,64.1,9.1
14.6,7.1,70.5,7.9
18.1,7.2,65.4,9.3
19.4,8.3,61.2,11
15.6,8.6,66.5,9.3
17,8.9,64.3,9.8
18.4,12.4,63,6.2
18.7,9.4,60.8,11.2
19.5,10.2,58.5,11.8
17.8,14.7,60,7.5
17.9,8.4,65.1,8.6
21.4,11,55.9,11.7
22.1,9,60.6,8.2
18.9,9.3,54.9,16.8
23.1,8.8,56.4,11.7
17.8,7.6,57.1,17.5
23.2,11.5,54,11.3
20.5,9,60.8,9.7
18.5,7.4,66.1,8
18.8,6.4,63.3,11.5
14.4,12.9,60.9,11.9
22.3,12.6,52.2,12.9
23.6,10.7,55,10.7
12.3,10.4,64.1,13.2
13.1,12.5,62.4,12
10,15,65.6,9.4
16.1,6.6,66.3,11
15.5,14.6,56.2,13.7
13.3,11.4,66.5,8.9
13.6,11,65.3,10.1
10.2,5.1,69,15.7
12.4,22.8,51.8,13
12.5,11.1,63.2,13.3
15.3,9,60.6,15.1
13,10.6,65.2,11.2
19,8.6,58,14.5
15.2,9.8,59.4,15.6
18,9.1,52.1,20.9
16.2,9.1,47.5,27.3
17.8,10.3,52.2,19.7
16,10.1,53.2,20.7
21.4,11.6,52.4,14.6
15.9,7.5,47.1,29.4
18.5,8.5,54.4,18.6
18.8,9.9,52.7,18.5
17.1,8,51.7,23.2
25.1,12.4,51.3,11.3
25.2,11.4,51.8,11.6
22.1,9.1,48.8,20
26,11.1,48.8,14.1
16.9,9.5,51.8,21.9
24.5,13.1,51.2,11.2
20.7,15.8,50.6,12.9
18.5,10.5,52.7,18.3
23.1,12.3,51,13.6
21.8,9.3,50.9,17.9
18.2,9.1,47,25.7
28,12.4,49.4,10.2
25.5,13.4,50.5,10.7
27.5,11.8,50.6,10.1
17.5,9.1,49.6,23.7
30.7,12.1,47.1,10.1
23.4,9.8,49.8,17
24,12.1,53.6,10.2
17.5,8.9,54.4,19.2
25.2,11.9,49.3,13.7
18,9.2,50.3,22.5
18.1,10,53.7,18.1
18,10.6,51.5,19.9
25.2,11.8,50.1,12.9
20.2,10,53.2,16.7
19.4,10.3,55.8,14.5
19.2,9.3,53.9,17.6
16.1,7.7,44.7,31.5
17,9,53.4,20.6
17.4,9.3,50.5,22.8
19.6,9.8,50.1,20.6
19.3,9.3,52,19.5
23.5,11,50.3,15.2
25.2,11.2,53.4,10.2
21.1,10.3,55.3,13.3
15.4,7.4,46.2,31
22.1,12.2,52.6,13.2
18,9.2,54.2,18.6
19.8,9.6,53.4,17.3
19.3,9.9,50,20.8
22,11.2,54,12.8
20,10.8,54.9,14.3
17.3,9,49,24.8
22.3,9.9,53.4,14.4
17.2,7,51.3,24.4
17.4,9.2,55.1,18.2
23.4,11.4,51.7,13.6
17.9,8.3,53.5,20.2
18.7,9.8,55.7,15.8
18.2,8.4,54.7,18.7
19,9.3,53.7,18
35.5,9.6,43.8,11.1
23.6,10.1,49.9,16.4
25.1,10.9,52.5,11.5
22.9,9.9,53.2,14
24,9.7,53.3,13
20.2,9.8,53.3,16.7
25.3,9.8,54.8,10.1
25.5,9.8,52.4,12.3
29.3,11,51,8.7
27.8,10.3,52.4,9.5
24.6,9.4,52.2,13.8
28.5,10.6,48.9,12
15.1,13.6,63.8,7.6
25.8,11.5,54.5,8.3
26.6,9.6,51.8,12.1
21.6,21.7,50.8,5.9
11.5,46.3,39.4,2.7
28.1,10.2,52.5,9.1
26.5,10.4,52.5,10.6
15,41,39.4,4.6
30,11.1,51,7.9
30.9,13.9,47.3,7.9
21.3,27,46.4,5.2
13.2,43.8,37.5,5.5
29.6,11.1,52.3,7
19.1,10.1,64,6.8
15.8,7.8,65.7,10.7
22.5,14.3,53.3,10
24.8,10.9,58,6.4
7.6,63.9,25.2,3.4
17.4,8.3,63.3,10.9
22.3,12.7,51.6,13.4
19.1,23.9,48.3,8.7
10,46.8,36.2,7
19,6.1,63,11.9
12.2,20.3,59,8.6
13.4,10.8,69.9,5.9
16.1,21,52.4,10.5
27.3,11.2,51.1,10.4
19.9,8.8,60,11.3
16.5,8,61,14.5
23.3,8.9,54.9,12.9
18.9,10.1,55.8,15.2
16.2,6.8,58.7,18.3
18.1,8,56.8,17.1
22.5,10.2,54.6,12.7
24.7,9.1,54.3,11.8
28,10.3,51.6,10.1
23.5,9.7,54,12.8
20.7,9.7,54.2,15.5
21.3,10,55.6,13.1
16.9,8.4,47.2,27.6
18.2,9.1,53.5,19.1
15.8,9,50.4,24.8
17.3,8.7,50.4,23.6
17.8,9.9,55.6,16.7
15.3,8.6,51.2,24.9
23,10.2,53,13.8
16.4,8.9,50.6,24
16.6,9.4,51.3,22.6
23.7,11.3,48.3,16.7
27.5,11.9,49.2,11.4
19.7,10.7,53.6,16
15.3,7.4,53.2,24.1
27.2,12,49.3,11.6
16.4,9.5,53.4,20.8
31.1,15.4,46.7,6.8
22.8,10.5,49.7,17
18.8,10.2,52.3,18.7
30.6,11.1,49.1,9.2
17.5,7.9,51.3,23.3
16.1,9.3,52.3,22.3
31.6,15.2,45.7,7.5
33.3,13.2,46.8,6.7
25.5,10.5,50.4,13.5
23.7,10.7,50.7,14.9
19,10.5,53.4,17.1
28.2,12.3,49.1,10.4
25.8,11.8,49.8,12.7
19.5,10.4,52.5,17.6
18.4,11.6,53.1,17
15.1,10.5,53.5,20.8
18.1,9.4,49.9,22.6
19.2,8.7,52.8,19.2
19.5,9.1,51.6,19.7
17.4,9.2,51.6,21.8
27.1,11.8,48.2,12.9
18.3,10,53.3,18.4
17.5,9.8,53.4,19.4
16.7,9.5,49.9,23.8
29,13.7,48.4,8.8
24.6,11.7,50,13.7
24.3,12.9,52.7,10.1
17.5,8.3,47.6,26.6
27,12.7,49.8,10.4
18.2,11,52.8,18
18.5,9.3,52.2,20
27.7,13.8,49.4,9.1
24.3,11.5,50.6,13.6
20.2,9.3,51.3,19.2
20.4,10.7,52.6,16.3
21.8,10.1,52.1,16
19.4,10.4,52.3,17.8
19.1,11.1,54,15.8
24.1,10.6,50.7,14.5
19.2,10.8,55.8,14.2
17.1,8.4,56,18.4
18.2,9.1,50.6,22.1
27,11.8,47.6,13.5
23,10.3,50.2,16.5
23.3,10.2,53.8,12.7
26.2,10.8,48.4,14.6
16.4,9.7,55.4,18.6
17.3,9.6,51.8,21.2
16.5,8.8,52.6,22.1
21.1,11.3,57.7,10
20.7,10.1,52.8,16.4
34.6,10.7,40.2,14.6
23.1,12.4,50.4,14.2
20.2,8.9,54.3,16.7
19,8.7,52.9,19.4
18.6,7.1,51.8,22.6
18.3,9.6,51.9,20.1
29.7,12.4,48.2,9.8
20.4,21.2,47.7,10.7
15.9,12.3,54.6,17.3
21.5,10.4,54.4,13.7
16.8,8.7,55.8,18.8
18.3,11.9,55,14.8
8.6,23.4,63.8,4.2
17.9,12.5,55.5,14.1
18.2,21.4,50.8,9.5
22.4,11.4,53.6,12.6
21.8,10.3,54.4,13.4
20.9,9.5,57.9,11.7
11.7,15.9,65.8,6.6
21.3,10.4,49.8,18.5
21,10.2,53.7,15.2
20.2,8.5,54.4,17
23.6,11,53.6,11.7
18,9.5,54.6,17.9
26.7,12.4,48.4,12.4
16,8.4,50.9,24.6
17.7,7.7,56.3,18.3
18.6,9.4,57.2,14.9
19.2,7.7,54.2,18.8
18.1,8.9,53.1,19.9
18,7.9,49,25.1
21.4,8.3,53.8,16.5
19.6,9.2,47.3,23.9
19.1,8.1,55.3,17.5
18.7,9.7,57.5,14.1
21,8.7,54.1,16.2
18.8,9.2,60.8,11.3
17.2,7,48.9,26.8
21.3,8.6,56.5,13.6
18,9.9,57.6,14.5
18.2,8.1,48.5,25.2
17.1,8.4,53.9,20.6
19.1,8.8,56.4,15.7
20.2,9.8,55.9,14.1
22.5,9.3,49.3,18.9
20.4,8.9,49.7,21
27.6,10.8,50.4,11.1
18.4,8.8,55,17.9
18.7,9.6,47.8,24
17.2,7.2,48.1,27.5
19,8.1,49.9,23
19.3,8.7,52.2,19.8
20,9,48.3,22.7
17.3,8.9,47.8,25.9
20.1,8.4,51.2,20.2
17.6,9,48.5,24.9
17.8,10,47.4,24.9
17.2,8.4,49.5,24.8
13.8,6.9,45.6,33.7
19.6,8.1,50,22.3
20.9,9.8,50.6,18.6
18.1,8.2,46.1,27.6
17.6,9,46.4,27.1
19.1,7.9,56.8,16.2
16.8,10.3,49.8,23.1
22.5,10.6,52.3,14.5
22,9.9,51.3,16.9
20.3,10.3,50.5,18.9
23,10.9,51.6,14.6
19.3,10.2,55.8,14.7
21.8,11,51.4,15.8
21,10.5,53.7,14.8
18.5,9.3,52.4,19.7
20.1,10.7,53.3,15.9
19,9.8,53.3,17.9
24.5,11.8,53.2,10.5
17.9,9.4,53.9,18.8
15.8,9.2,53.7,21.3
17.3,9,51,22.7
20.1,10.5,54.5,14.9
19.8,9.7,51.4,19.1
19.7,9.9,53.5,16.9
23.1,10.2,53.9,12.7
19.1,10.5,53.4,17
17.1,9.1,53.4,20.5
16.1,8.3,52.7,22.9
16.8,9.4,50.6,23.2
18,9.3,52.6,20.1
17.7,10.6,51.5,20.2
25.1,10.7,48.9,15.3
23.6,11.6,51.7,13.1
18.3,9,49.6,23.1
17.6,8.1,50.5,23.7
24.4,11.8,56.2,7.6
19.4,9.8,51,19.8
23.8,10.1,56.1,10
21.8,12.4,52.5,13.2
18.9,8.8,50.1,22.2
22.9,9.9,53.7,13.5
19.6,9.9,51.7,18.8
19.5,9.6,54.6,16.3
17.3,9.3,53.8,19.6
17.3,7.9,51.1,23.7
19.9,9.1,55.6,15.4
21.6,6.8,56.8,14.8
20.1,8.5,53.6,17.8
21.3,6.7,52.7,19.3
19,7.3,57.3,16.4
17.5,8.4,48.1,25.9
26.3,10.1,49.2,14.5
22.6,9.2,51,17.2
25.1,9.7,54.7,10.5
22.2,7.8,52.4,17.6
21.4,7.6,52.8,18.3
21.7,10.1,49.3,19
19.7,8.3,48.8,23.2
23.2,7.2,55.9,13.6
19.1,8.1,52.3,20.5
24.6,7.5,53.6,14.3
19.9,7.1,50.1,22.8
21.5,8,46.2,24.3
17.2,9.6,53.3,19.9
15.6,9,51.5,23.9
15.9,8.4,50.9,24.7
16.5,9.1,52.3,22
20.5,10.2,50.9,18.4
15.3,8.3,54.7,21.7
17.3,9,53,20.7
16.6,11.4,55.3,16.6
18,9.8,55.5,16.7
26.9,10.9,50.6,11.5
17.6,10,54.1,18.3
23.4,11.6,51.2,13.9
18.5,9.9,53.8,17.8
19.1,9.9,51.2,19.8
19.6,9.7,55.8,14.9
20.1,10.1,49.6,20.2
22.6,10.2,53.4,13.7
17.9,8.4,50.9,22.7
16.9,9.1,52,22
15.2,10,51.7,23.1
19.5,8.9,52.3,19.3
16.6,8.5,53.3,21.6
17.6,8.7,54.6,19.1
21.9,11.2,52.7,14.2
18.1,9.8,54.4,17.7
19.4,12.4,53.7,14.5
21.7,9.7,52.3,16.3
20.6,9.8,55.1,14.5
18.5,7.9,52.5,21.1
17.4,10.3,59.3,13
18.3,9.8,53.5,18.4
17.3,10,49.8,22.9
19.3,10.7,53.8,16.1
17.8,9.5,53.8,19
19.3,9.8,52,19
15.8,9.7,50,24.5
19.2,9.2,52.5,19.1
20.4,9.8,52.6,17.3
16.4,9,52.4,22.2
17.9,8.4,51.3,22.3
27.1,10.7,50.1,12.1
19.3,10.4,53.5,16.7
19.1,12,54.6,14.2
21.6,11,53.3,14.2
20.7,11.2,50.8,17.3
20,10.7,53.6,15.6
20.1,10.6,52.5,16.7
23,11.7,50.8,14.5
17.7,11.2,54.1,17
21.8,11.8,50.6,15.8
20.1,12.3,51.9,15.8
21.5,10.6,50.7,17.3
21.5,11.2,50.1,17.2
18,9.6,53.2,19.2
20,11.2,51.8,17.1
14.1,10.8,50.9,24.2
16.4,10.1,53,20.5
17.3,10.4,53.3,19.1
15.3,9.9,53.7,21.1
21.3,10.5,52.9,15.3
20.5,10.4,54.8,14.3
18.6,9.7,56.4,15.3
18.9,9.1,56.9,15.1
21.9,9.8,51.8,16.5
19.9,10.8,55.8,13.5
18,11.1,58.1,12.8
19.3,10.4,57.1,13.3
20.4,10.8,53.5,15.4
18.8,9.7,55.4,16.1
28.6,9.8,51.4,10.2
23.6,10.3,50.4,15.6
20.7,10.5,54.9,14
16.8,9.5,55,18.7
18.4,10,55.3,16.4
18.2,10.3,53.7,17.8
16.4,10.2,52.8,20.6
21.9,10.4,53.8,14
19.5,11.5,54,15
21.9,11.1,54.8,12.1
18.1,10.3,56.7,14.9
17.2,9.3,52.1,21.4
19.2,9.7,53.2,18
14.5,12.8,56,16.7
19.8,10.4,52,17.8
22.9,10.5,53,13.5
15.2,9,55.5,20.2
19,10.3,56.5,14.2
16.1,14.9,58.5,10.5
18.8,9.3,52.6,19.3
20.1,18.3,51.4,10.2
7.5,57.3,29.2,6
17.1,9.6,55.9,17.4
17.7,8.5,52.9,20.8
19.5,16.3,54.3,9.9
18.5,9.5,53.8,18.2
10.2,34.4,47.5,7.9
10.8,46.1,36.3,6.8
28.9,13.1,49.8,8.3
17.5,8.6,51.6,22.3
17.5,10.2,52.3,20
15.7,22.9,51.4,10
12.2,11.2,65.8,10.7
20.6,11.1,54,14.3
20.5,9.9,50.2,19.4
14.5,6.9,49.4,29.3
15.6,14.2,46.6,23.7
10.6,21.9,53,14.6
18.2,7.3,55.5,19
14.2,10.8,60.5,14.6
14.3,6.7,53.3,25.7
13.1,11.2,58.1,17.6
18.3,9.2,51.6,21
16.9,9.3,55.7,18.2
16.3,8.5,52.7,22.5
18,7.7,54.8,19.6
20.5,9.3,57.2,13
21.6,9.9,55.1,13.3
24.8,10.2,52.3,12.7
14.3,7.6,46.8,31.3
14.2,8,46.3,31.5
15.5,9.1,50.9,24.5
17.9,9,51.7,21.4
19,9.1,51.1,20.8
17.3,9.5,50.1,23.1
19,10.2,50.9,20
16.6,9.7,51,22.7
16.5,8,46.5,29
22.6,10.1,53.5,13.9
22,11.1,52,14.9
17.3,10.7,56.6,15.4
18.8,9.8,55.1,16.3
19.2,11.3,53.2,16.4
19.6,9.6,55.2,15.5
17.3,10.4,55.3,17
24,11.1,52.1,12.8
14.8,10,51,24.2
21.6,10.7,51.3,16.5
16.3,9.4,53,21.3
15.6,8.7,49.9,25.9
20,10.6,52.1,17.3
15.1,8,46.6,30.4
15.4,8,46.5,30.1
16.1,8.2,47.4,28.3
10.1,5.9,42.8,41.2
12.6,8.7,53.7,24.9
21.7,9.8,52.9,15.6
20.8,9.2,54.2,15.8
20.7,10,53.6,15.7
20.3,9.2,51.8,18.7
12.6,7.9,43,36.5
18.9,8.9,52.4,19.8
18.8,9.9,47.9,23.5
11.8,6.5,42,39.7
14.5,8,43.1,34.5
15.1,7.5,44.4,33
16,8.2,45.1,30.7
17.2,8.2,47.9,26.6
14.7,7.9,48.3,29.1
14.3,9.4,48.7,27.5
14.3,8,46.6,31.1
16.2,8.9,50,24.8
15.1,8.5,51.2,25.2
15,8.1,49.5,27.5
19.8,10.4,49.6,20.2
19.7,10.5,52.5,17.2
17.3,8.9,52.5,21.3
16.3,9.2,51.8,22.7
15.8,9.9,54.7,19.6
16.8,9.2,54,20
19.7,10.9,53.8,15.6
18.3,9.9,56.3,15.5
22.1,10.1,52.1,15.8
15.3,9.5,54.2,21
17.8,10.5,51.7,20
22.1,11.4,53.2,13.3
21.3,10.5,51.7,16.4
22.8,10.9,53.2,13
19,10.3,54.5,16.2
20.5,10.7,52.2,16.6
15.3,8.7,54.1,21.9
18.4,10.3,54,17.4
16.1,8.9,50.9,24.1
17.8,9.3,51.9,21
22.9,10.5,51.4,15.2
20.3,9.2,53.4,17.1
19,9.4,51.9,19.8
24.4,12.4,50.5,12.8
23.2,9.7,49.1,18
23.9,10.5,53,12.6
25.8,12.2,49.8,12.3
17.6,9,49.2,24.2
17.5,8.9,52.3,21.2
16.5,8,51.4,24.2
16.6,9.4,51.8,22.2
18.4,12.1,55.7,13.8
16.4,8.7,51.6,23.3
17.4,8.6,47.7,26.4
22.4,11.6,49.1,17
11.8,7.9,53.3,27
25.2,11.9,52.5,10.3
20.4,9.2,54.4,16
14.4,7.1,48.2,30.3
19.2,8.8,51,21
21.5,10.3,49.8,18.5
17.3,8.3,48.2,26.2
22.1,11.6,52.3,14
16.4,7.5,46.5,29.6
19.5,10.1,51.9,18.5
17.8,9.7,49.4,23.2
21.1,9,54.1,15.8
19.1,9.1,51.8,20
15.2,8.1,47.8,28.9
16.7,7.8,48.9,26.5
19,8.6,51.1,21.3
18.7,8.8,52.1,20.5
15.9,7.6,46.9,29.6
13.9,7.4,45.5,33.2
18,9.3,50.2,22.5
15,7.5,43.6,33.9
16.5,8.4,47.8,27.3
19.3,8.4,51.5,20.8
18.6,9.1,52.6,19.7
19.3,11.5,51.4,17.8
18.1,8.9,51.5,21.4
15.7,9.7,50.7,23.9
16.6,8.6,51.2,23.6
20.8,10.7,53.1,15.3
23,10.4,50.8,15.8
20.6,12.1,52.2,15.1
15.9,8.2,53.2,22.7
18.5,9.9,54.2,17.4
22.1,10.4,52,15.6
15.2,9.1,50.3,25.3
17,11.3,59.1,12.6
19.9,10.6,50.8,18.7
16.2,11,54.4,18.4
15.3,7.9,49.6,27.2
19.5,10.1,54.1,16.3
23.3,9.5,51.3,15.9
17.3,8.9,52,21.9
18.4,10.2,50.5,20.9
18.5,9.5,50.8,21.2
20.5,10.4,54.9,14.2
17.8,10.7,53.4,18
19.4,8.5,53,19.1
20.3,10.7,52,17
19.4,10.1,54,16.5
16.4,8.2,52.3,23.1
16,9,50.8,24.3
19,9.9,54.9,16.2
18.6,10.1,50.5,20.8
23.9,10.2,50.6,15.2
20.2,9.2,50.9,19.7
18.8,8.6,51.6,20.9
21.4,10.5,48.9,19.3
19.5,9.1,50.5,20.9
21.8,9.2,50.7,18.4
16.6,8.3,49.8,25.4
11.9,9.4,59.2,19.5
23,11,51.3,14.7
21.6,11.7,52,14.7
18.7,9.4,51.8,20.1
20.2,10,52.9,16.9
19.6,9.5,54.5,16.5
21,9.9,53.4,15.7
20.1,10.4,52.3,17.3
17.3,9,51.6,22.1
14.9,8,51.6,25.6
21.4,10.7,52.7,15.2
15.8,10.5,59.7,14
14.1,7.5,51.1,27.3
18,9,50.6,22.5
20.5,13.2,57.1,9.1
19.6,10.1,56.3,14
18.2,8.4,50.7,22.6
17.3,7.6,50.1,24.9
17.1,7.7,50.3,24.9
15.5,8.6,51.3,24.7
21.5,10.6,58.6,9.3
21.1,9.8,50.5,18.5
19.2,10.2,51.5,19.1
20.3,11,52.8,15.9
19.9,10.7,50.2,19.2
16.2,8.8,51.4,23.7
20.4,10.3,52,17.3
20.8,10.2,51.9,17
16.6,9.1,52.9,21.4
23.7,10.9,49.4,16
19.8,9.4,53.1,17.8
14.2,6.6,46.4,32.9
23.3,9.4,54.4,12.9
19.3,9.9,50.6,20.2
16,9.2,50.4,24.5
19.2,9.1,51.5,20.2
18.3,10.6,51.9,19.3
21.4,9.2,53.3,16
14.2,8.8,54.7,22.3
19.7,10.7,52.8,16.8
13.2,10.5,52.9,23.4
18.7,10.3,50.5,20.5
21.2,11.1,50.4,17.3
19.1,8.9,52.7,19.3
26.2,11.4,49.6,12.7
24.7,12.2,50.7,12.4
17.4,9.4,52.6,20.7
23.8,12.8,53.3,10.1
22.6,13,52.2,12.2
16.7,9.4,53.1,20.8
16.3,8.9,48.8,26
21.8,10.3,50.3,17.6
18.7,9.5,49.8,22
16.4,9.1,50.6,23.8
20.7,10.7,48.2,20.4
15.7,8.6,51.3,24.4
18.4,9.5,51,21.1
19.8,10.1,50.7,19.4
20.4,10,55.5,14.2
18.1,9.9,53,18.9
20,10,49.2,20.8
19.6,8.5,50,21.8
19.8,8.7,52.3,19.3
15.9,8.6,47.9,27.6
17.9,8.8,49.7,23.6
17,8.8,50.4,23.8
16.2,8.2,53.8,21.9
17.2,9.2,51.3,22.3
16.4,8.7,52.3,22.6
12.7,7.8,50.1,29.3
17.3,9.3,51,22.4
26.9,9.7,51.7,11.7
18.8,8,54.2,19
22.6,10.6,49.8,16.9
25.1,10.7,50.4,13.9
23.5,10,52,14.6
21.4,9.2,53.3,16.1
25.7,11.9,47.6,14.8
21.3,10.4,53.4,14.9
25.4,10.2,50,14.4
18.6,9.1,54.7,17.7
17,10.6,60.1,12.4
28.8,12.5,47.2,11.6
23.4,10.9,50.1,15.6
30.3,12.7,46.6,10.4
18.5,8.6,55.5,17.5
32.3,12.7,48,7
15.1,8.3,49.5,27.1
12.8,10.6,61.4,15.2
17,8,50.7,24.4
17.1,22.1,48.2,12.6
30.5,12.3,48.1,9.1
8,47.5,36.9,7.6
14.2,17.7,52.3,15.8
8.4,46.9,36.3,8.4
20,11.1,52.7,16.2
18.2,7.9,49.7,24.2
8.2,51.7,31.9,8.2
18.2,9.6,50,22.3
10.7,43.5,34.6,11.2
23.7,10.1,53.5,12.8
13.8,36.4,43.7,6.1
19.1,6.9,48.4,25.7
12.9,42.8,39.2,5.1
18.3,17.5,51.5,12.7
16.6,9.5,51.1,22.8
20.5,9.9,51.9,17.7
15,21.8,50.9,12.3
22.1,9.7,52.9,15.3
24,11.8,50.6,13.6
16.1,10.4,53.2,20.3
17.9,10.6,58.6,12.9
19.1,11.8,52.6,16.5
17.1,9.6,50.5,22.8
19,7.9,62.7,10.4
15.2,10.1,51.6,23.1
19.1,7.3,47.8,25.8
19.7,10.1,54.3,15.9
17.7,9,58.8,14.6
21.5,11.2,50.4,16.9
13.2,8.4,53.3,25
16.4,9.1,49.3,25.2
18.1,10.1,57.4,14.5
15.5,6.7,50.7,27.1
16.3,8.4,51.7,23.6
17.3,7.4,50.8,24.5
17.7,7.8,47,27.5
21.8,9.9,50.7,17.6
22.2,10.2,51,16.6
17.6,6.8,49.4,26.1
17.7,8.9,51.8,21.7
16.1,8.7,53.5,21.7
18.4,9.8,55.4,16.3
19.6,10.7,52.4,17.3
14.8,8.3,52.2,24.7
16.9,10.5,59.5,13
20,17.8,48,14.2
17.1,9.6,53.6,19.7
19,13.1,57.4,10.5
23.2,11.2,52.3,13.3
19,8.5,51.2,21.2
16.8,10.4,53.8,19.1
16.3,8.7,53.6,21.3
20.6,9.7,50.6,19
16.7,8.3,54.6,20.4
14,7.8,44.8,33.4
16.1,10.4,52.5,21
17.7,8.2,53.4,20.8
15.1,7.9,50.9,26
21.2,10.5,51.3,17
15.3,9.2,47.3,28.2
15.3,10.6,52.9,21.2
16.9,8.6,52.5,22
20.5,9.5,51.8,18.2
16.9,9.5,50.5,23.1
22.4,7.2,54.3,16.1
20.1,7.3,51.2,21.5
20.4,10.7,50.9,17.9
21.9,9.5,50.4,18.2
16.9,13.1,52.4,17.6
19.1,8.3,53.9,18.7
19.2,9.4,55.1,16.4
24,9.6,51.8,14.6
21.7,9.4,50.2,18.8
16.4,10.7,54.8,18.2
5.2,60.4,26.7,7.7
18.1,8.9,51.3,21.7
20.2,11.5,47.5,20.8
25,10.4,50.2,14.4
5,49.5,35.5,10
8.7,29,54.5,7.8
21.7,14.1,50.8,13.5
17.4,9.9,53.8,18.9
19.2,9.8,51.2,19.7
19.9,22.6,51.6,5.8
4.6,56,35,4.5
7.6,43.7,43.7,5.1
22.5,8.6,50.6,18.3
19.9,11,54.6,14.5
23.6,10.8,50.3,15.3
25.5,11.1,49.2,14.1
27.1,11.6,52,9.3
20.6,10.1,51.3,18
15.4,8,43.8,32.8
16,9.8,52.7,21.4
21.6,7.6,50.3,20.6
15.6,7.2,48.6,28.6
16.4,8.3,51,24.2
18.8,8.5,56.1,16.6
19.6,7.7,54.9,17.8
19.7,9,53.4,17.9
19.3,8.9,51.7,20
14.5,7.5,49,29
22.2,8.1,55.7,14.1
15.4,8.8,53.4,22.4
16.7,9.1,50.3,23.8
16.7,9.3,51.8,22.2
21,10.4,49.7,18.9
15.6,6.8,54.3,23.3
15,7,55,23
18.1,8.1,54.8,19
19.1,9.7,56.4,14.8
14.6,8.9,52,24.5
18.5,8.7,54.7,18
13.5,7.5,59.3,19.6
23.8,10.3,52.6,13.3
15.9,8.6,52,23.4
14.9,8.6,57.5,19
18.7,10.7,53.1,17.5
17.8,9.9,57,15.2
21.6,10.1,54,14.3
19.6,11.7,57.1,11.5
16.2,9.7,56.2,17.9
18.3,9.9,56.1,15.8
15.2,11.8,57.5,15.6
13.7,11.4,56.3,18.5
19.3,9.2,48.2,23.3
15.5,11.1,51.2,22.2
14.1,8.2,51,26.6
17.6,8.9,54.7,18.7
19.7,10.5,49.9,19.8
18.7,9.9,54.8,16.6
16.2,10.5,55.8,17.6
15.6,10.1,56,18.3
19.1,11.6,50.4,18.9
18.4,9.4,50.5,21.7
19.9,10.1,52.4,17.5
19.7,9.7,50.4,20.2
24,10.7,50.7,14.6
18.1,10.3,51,20.6
16.7,8.7,49.5,25
17.3,10.3,52.7,19.7
18.4,9.7,50.2,21.7
17.1,9.2,56.1,17.6
15.9,7.2,49,27.9
17,8.9,50.8,23.3
14.2,9.4,52.7,23.7
13.6,8.4,51.6,26.3
21.2,11,52.3,15.5
19.9,10.5,51.4,18.2
17.7,8.9,53.2,20.2
12.9,12.4,53.7,20.9
15.9,9.4,51.8,22.8
19.3,9.9,53.3,17.5
21,10.7,52.1,16.1
18.4,10.4,52.7,18.5
16.2,22.8,49.6,11.3
22.7,10.8,50.5,16
11.2,25.2,52.8,10.8
17.8,9.3,54,18.9
14.3,8.9,52.1,24.7
17.4,12.8,53.6,16.2
21.1,9.5,53.3,16.1
18.7,13.8,52,15.6
17.2,8.1,49,25.7
17,9.8,55.7,17.4
19.4,10.4,51.4,18.8
14.1,9.7,50.4,25.8
21.4,11.3,52.2,15.1
18.4,10.2,53,18.5
16.7,8.5,53.2,21.7
16.4,8.7,52.1,22.8
17.4,10.5,51.6,20.5
19.4,10.7,53.5,16.3
13.3,8.9,49.7,28.1
20.1,9.4,52.9,17.6
15.6,9.2,56.7,18.5
16.4,10.6,55,18
19.4,9.9,53.5,17.2
17.7,9.6,49.8,22.8
13.8,9.4,51,25.8
21.2,9.9,50.9,18
19.9,8.9,46.8,24.4
18.6,8.1,46.9,26.4
22.8,8.3,48.4,20.5
16.6,8.8,47.7,26.8
21.4,9.9,51.4,17.3
17.2,10.1,50.9,21.8
18.7,10.1,51.6,19.7
23.9,11.5,50.1,14.6
18.3,8,53.9,19.7
17.4,12.6,49.5,20.5
25.6,12.9,49.3,12.1
16.3,9.3,52.6,21.9
20,10.3,50.9,18.8
25.6,12.4,48.6,13.4
16.3,8.5,47.2,27.9
20.7,11.1,51.3,16.8
20.2,11.4,51.1,17.4
16.1,8.2,52.4,23.2
22.5,11.5,52.5,13.5
23.2,12.2,51.4,13.3
17,8.2,50.3,24.4
26.6,13.3,47.8,12.3
25.1,10.5,53.2,11.2
22.9,12.7,49.8,14.6
20.7,9.9,53,16.4
22.2,11.9,52.3,13.6
20.8,11,51.9,16.2
21.8,12.8,48.9,16.5
23.1,13.4,54.7,8.7
21.2,14,54.7,10.1
19.9,16,53.6,10.4
24.4,19.7,47.9,7.9
27,12.7,51,9.2
27,16.3,48.3,8.4
25.8,13.1,51.3,9.8
28.9,14.9,47.8,8.4
30.2,12.7,46.5,10.6
26.2,13.2,51.4,9.1
27.6,15,49.4,8.1
31.7,14.7,45.5,8.1
27,15.5,45.5,12.1
32.4,13.4,45.9,8.3
30.8,14.5,45.4,9.2
